"row" "col" "lay" "lon" "lat" "WellNum" "ztop_m"
64 124 0 461634.12422272 4334604.71038478 320 389.030395507812
72 124 0 461634.12422272 4332604.71038478 321 371.027465820312
76 124 0 461634.12422272 4331604.71038478 322 318.505035400391
80 124 0 461634.12422272 4330604.71038478 323 329.855438232422
84 124 0 461634.12422272 4329604.71038478 324 492.740844726562
88 124 0 461634.12422272 4328604.71038478 325 519.972595214844
92 124 0 461634.12422272 4327604.71038478 326 470.696014404297
96 124 0 461634.12422272 4326604.71038478 327 347.527008056641
100 124 0 461634.12422272 4325604.71038478 328 233.399169921875
104 124 0 461634.12422272 4324604.71038478 329 107.942291259766
108 124 0 461634.12422272 4323604.71038478 330 72.7259902954102
116 124 0 461634.12422272 4321604.71038478 331 97.0783996582031
124 124 0 461634.12422272 4319604.71038478 332 281.446899414062
128 124 0 461634.12422272 4318604.71038478 333 443.337921142578
132 124 0 461634.12422272 4317604.71038478 334 405.476013183594
140 124 0 461634.12422272 4315604.71038478 335 311.113342285156
144 124 0 461634.12422272 4314604.71038478 336 270.447875976562
148 124 0 461634.12422272 4313604.71038478 337 583.219970703125
152 124 0 461634.12422272 4312604.71038478 338 580.700988769531
156 124 0 461634.12422272 4311604.71038478 339 584.820373535156
52 128 0 462634.12422272 4337604.71038478 340 395.802185058594
56 128 0 462634.12422272 4336604.71038478 341 528.483703613281
60 128 0 462634.12422272 4335604.71038478 342 402.430206298828
64 128 0 462634.12422272 4334604.71038478 343 272.776550292969
76 128 0 462634.12422272 4331604.71038478 344 432.89013671875
80 128 0 462634.12422272 4330604.71038478 345 419.080139160156
84 128 0 462634.12422272 4329604.71038478 346 447.636505126953
88 128 0 462634.12422272 4328604.71038478 347 406.712890625
96 128 0 462634.12422272 4326604.71038478 348 425.687469482422
100 128 0 462634.12422272 4325604.71038478 349 267.616760253906
108 128 0 462634.12422272 4323604.71038478 350 108.334457397461
116 128 0 462634.12422272 4321604.71038478 351 257.715393066406
